City,Country,Date (Unix Timestamp),Latitude,Longitude,Max Temperature(F),Cloudiness(%),Humidity(%),Wind Speed(mph)
bonavista,CA,1529808491,48.65,-53.11,52.96,56,64,21.3
bonthe,SL,1529808386,7.53,-12.5,72.94,92,100,3.51
bosaso,SO,1529809039,11.28,49.18,89.23,64,86,15.14
brae,GB,1529806800,60.4,-1.35,51.8,92,93,14.99
bredasdorp,ZA,1529805600,-34.53,20.04,59,92,67,8.05
broken hill,AU,1529808455,-31.97,141.45,55.84,0,74,5.19
broome,GB,1529806800,52.47,1.45,51.8,48,87,2.24
buala,SB,1529808481,-8.15,159.59,77.53,68,100,6.76
bubaque,GW,1529809197,11.28,-15.83,79.24,92,100,11.01
bud,NO,1529806800,62.91,6.91,51.8,92,87,4.7
busselton,AU,1529808025,-33.64,115.35,60.07,0,100,7.54
butaritari,KI,1529808014,3.07,172.79,84.46,44,100,3.51
ca mau,VN,1529809309,9.18,105.15,87.43,64,81,11.45
caala,AO,1529809288,-12.85,15.56,38.2,0,76,2.06
cabo san lucas,MX,1529804640,22.89,-109.91,77,5,68,14.99
cairo,EG,1529807400,30.05,31.24,77,0,78,6.93
camabatela,AO,1529809321,-8.19,15.37,52.24,0,78,3.29
camacha,PT,1529807400,33.08,-16.33,66.2,40,82,11.41
camocim,BR,1529809256,-2.9,-40.84,78.61,0,75,13.02
camopi,GF,1529809235,3.17,-52.33,74.11,76,96,2.17
camrose,CA,1529807100,53.01,-112.84,71.6,75,64,5.82
cape town,ZA,1529805600,-33.93,18.42,51.8,75,100,5.82
carauari,BR,1529809320,-4.88,-66.9,75.82,36,90,3.4
caravelas,BR,1529808027,-17.73,-39.27,76.36,8,100,11.23
carnarvon,ZA,1529808198,-30.97,22.13,21.28,8,72,3.06
carutapera,BR,1529808271,-1.2,-46.02,80.05,44,82,8.77
caska,MK,1529807400,41.65,21.66,51.8,40,76,4.7
castro,CL,1529808021,-42.48,-73.76,28.39,56,100,2.95
catalina,CO,1529805600,8.86,-75.38,82.4,75,88,7.99
cedar city,US,1529805180,37.68,-113.06,87.8,1,5,16.11
chagoda,RU,1529809298,59.16,35.33,56.02,88,94,10.78
chalons-en-champagne,FR,1529807400,48.95,4.37,53.6,0,81,4.7
champerico,MX,1529805060,16.38,-93.6,80.6,90,69,2.06
changji,CN,1529808308,32.07,116.17,82.66,36,89,4.97
changli,CN,1529809367,30.54,105.42,87.34,56,79,5.3
chapleau,CA,1529809344,47.85,-83.4,64.66,32,46,9.44
charlestown,US,1529807760,41.38,-71.64,64.4,90,100,5.82
charters towers,AU,1529808549,-20.07,146.27,71.05,0,77,10.67
chebenki,RU,1529807400,51.93,55.71,66.2,0,52,11.18
chenzhou,CN,1529809305,25.81,113.03,87.34,32,77,10
cherskiy,RU,1529808323,68.75,161.3,60.16,80,44,5.3
chokurdakh,RU,1529807809,70.62,147.9,52.33,0,83,8.66
chumikan,RU,1529809098,54.72,135.31,52.06,0,80,3.96
chuy,UY,1529808054,-33.69,-53.46,48.19,0,96,16.93
cidreira,BR,1529808050,-30.17,-50.22,62.32,80,89,13.69
clyde river,CA,1529805600,70.47,-68.59,39.2,1,80,5.82
coahuayana,MX,1529808457,18.62,-100.35,64.12,76,95,2.17
cochrane,CL,1529809290,-47.25,-72.57,11.92,8,98,1.61
cockburn town,TC,1529808363,21.46,-71.14,81.22,0,99,21.52
codrington,AU,1529808234,-28.95,153.24,63.58,0,63,3.85
coihaique,CL,1529805600,-45.58,-72.07,35.6,75,69,3.36
college,US,1529805480,64.86,-147.8,68,76,37,6.93
colquechaca,BO,1529809260,-18.7,-66,31.81,0,68,1.5
columbus,US,1529807700,32.46,-84.99,84.2,1,100,2.28
comodoro rivadavia,AR,1529805600,-45.87,-67.48,37.4,0,47,10.29
concordia,AR,1529809371,-31.4,-58.02,49.9,0,80,18.72
conneaut,US,1529807760,41.95,-80.55,69.8,90,100,4.7
constitucion,MX,1529804460,23.99,-104.67,73.4,75,53,10.29
conway,US,1529807700,33.84,-79.05,84.2,1,74,5.82
copiapo,CL,1529805600,-27.37,-70.33,55.4,24,71,9.17
coquimbo,CL,1529805600,-29.95,-71.34,44.6,0,93,5.64
corleone,IT,1529805000,37.81,13.3,69.8,40,77,3.36
corn island,NI,1529809180,12.17,-83.04,82.57,80,99,17.16
cotnari,RO,1529807400,47.35,26.94,48.2,0,93,4.7
crossville,US,1529807700,35.95,-85.03,75.2,40,88,3.36
dali,CN,1529809159,25.6,100.24,71.95,92,74,1.95
darhan,MN,1529809307,49.49,105.92,66.55,56,53,7.65
darnah,LY,1529809356,32.77,22.64,76.27,0,98,13.02
datong,CN,1529808050,40.09,113.3,75.37,92,67,3.74
de-kastri,RU,1529809340,51.48,140.77,49.36,44,87,11.45
dedougou,BF,1529809349,12.47,-3.47,73.12,8,93,8.99
deniliquin,AU,1529809360,-35.53,144.96,47.02,12,100,5.41
deputatskiy,RU,1529808303,69.3,139.9,71.86,0,26,4.63
dezhou,CN,1529809319,37.45,116.31,89.95,56,50,15.26
dharchula,IN,1529808462,29.85,80.53,54.13,48,100,0.94
diamantino,BR,1529809243,-14.4,-56.44,63.31,0,77,2.62
dikson,RU,1529808309,73.51,80.55,32.26,76,98,12.24
dingle,PH,1529808490,11,122.67,82.57,56,93,3.74
dmanisi,GE,1529809253,41.33,44.2,60.16,8,87,2.73
doha,QA,1529807400,25.29,51.53,89.6,0,40,6.93
dolgorukovo,RU,1529809299,52.32,38.35,74.02,64,41,9.44
dongsheng,CN,1529808466,29.72,112.52,86.71,76,80,11.68
dorado,PR,1529805360,18.46,-66.27,77,1,88,9.17
dryden,CA,1529805600,49.79,-92.84,60.8,90,93,16.11
dudinka,RU,1529809330,69.41,86.18,68.89,36,89,8.88
dukat,RS,1529809261,42.44,22.31,39.46,0,91,1.72
dunedin,NZ,1529808441,-45.87,170.5,45.58,8,79,9.78
dutse,NG,1529809296,11.76,9.34,67.9,0,97,5.97
dwarka,IN,1529803800,28.58,77.04,93.2,75,38,4.7
dzerzhinskoye,RU,1529809215,56.84,95.22,74.56,0,57,7.43
east brainerd,US,1529807700,35,-85.15,75.2,68,94,3.36
east foothills,US,1529808000,37.38,-121.82,96.8,1,77,6.93
east london,ZA,1529808178,-33.02,27.91,63.58,0,100,23.31
eenhana,NA,1529805600,-17.48,16.34,55.4,0,50,3.36
egvekinot,RU,1529809018,66.32,-179.17,48.37,36,67,5.97
erenhot,CN,1529809152,43.65,111.97,72.76,88,74,15.03
escanaba,US,1529805360,45.75,-87.06,62.6,1,88,3.36
esperance,TT,1529805600,10.24,-61.45,78.8,40,94,11.41
evensk,RU,1529809018,61.92,159.24,55.66,20,71,8.99
faanui,PF,1529808028,-16.48,-151.75,80.59,8,100,13.58
fairbanks,US,1529805480,64.84,-147.72,68,76,37,6.93
fairmont,US,1529807700,40.64,-97.59,75.2,75,69,6.93
faya,SA,1529805600,18.39,42.45,68,0,22,1.61
ferrol,ES,1529807400,43.48,-8.23,66.2,0,82,2.17
flinders,AU,1529805600,-34.58,150.85,57.2,0,47,9.17
fort frances,CA,1529805300,48.61,-93.4,66.2,40,93,8.05
fort nelson,CA,1529805600,58.81,-122.69,77,75,33,13.87
fortuna,ES,1529805600,38.18,-1.13,71.6,0,73,4.7
frankfort,US,1529807700,38.2,-84.87,75.2,40,88,4.41
fukue,JP,1529807400,35.03,136.69,71.6,75,83,5.82
fukuma,JP,1529807400,33.77,130.47,82.4,40,54,9.17
gander,CA,1529805600,48.95,-54.61,57.2,75,62,5.82
gari,RU,1529809287,59.43,62.35,64.39,88,77,6.87
gat,SN,1529809052,14.69,-16.54,73.84,76,93,7.99
genhe,CN,1529809277,50.78,121.52,63.58,88,74,10.11
george,NG,1529805600,6.63,3.35,75.2,40,94,6.31
georgetown,GY,1529805600,6.8,-58.16,75.2,40,100,4.7
geraldton,CA,1529807280,49.72,-86.95,46.4,90,87,9.17
gerardmer,FR,1529807400,48.07,6.88,51.8,80,87,2.24
gigmoto,PH,1529809103,13.78,124.39,83.47,68,100,3.96
gillette,US,1529805180,44.29,-105.5,60.8,40,82,6.76
gizo,IL,1529806800,31.8,34.94,77,40,73,4.7
gorom-gorom,BF,1529809121,14.45,-0.24,73.84,48,87,3.06
gorontalo,ID,1529808994,0.54,123.06,83.83,20,74,2.73
graaff-reinet,ZA,1529809302,-32.25,24.53,30.91,0,72,2.28
grammichele,IT,1529806800,37.21,14.64,69.8,40,83,8.05
grand gaube,MU,1529805600,-20.01,57.66,73.4,75,64,10.29
guarapari,BR,1529805600,-20.67,-40.5,75.2,0,83,6.93
gubkinskiy,RU,1529809211,64.43,76.5,64.93,0,95,6.31
guerrero negro,MX,1529808305,27.97,-114.04,67.99,0,78,6.76
guilin,CN,1529805600,25.28,110.29,77,90,94,8.99
guiyang,CN,1529805600,26.58,106.71,69.8,90,100,2.24
gumia,IN,1529809289,23.8,85.83,88.42,32,71,7.99
haines junction,CA,1529808502,60.75,-137.51,55.66,32,40,2.62
half moon bay,US,1529805360,37.46,-122.43,98.6,1,46,13.87
halifax,CA,1529805600,44.65,-63.58,59,90,93,8.05
hambantota,LK,1529808032,6.12,81.12,78.61,24,100,10.56
hami,CN,1529809120,42.84,93.51,85.09,12,43,7.87
hamilton,BM,1529805300,32.3,-64.78,78.8,40,88,10.29
harper,US,1529806500,30.3,-99.24,93.2,1,51,10.29
hasaki,JP,1529805600,35.73,140.83,71.6,75,94,1.12
havelange,BE,1529807580,50.39,5.24,53.6,0,87,3.36
havre-saint-pierre,CA,1529805600,50.23,-63.6,53.6,90,81,3.36
henties bay,NA,1529808552,-22.12,14.28,53.23,0,100,6.98
hermanus,ZA,1529808255,-34.42,19.24,52.6,48,91,5.75
hervey bay,AU,1529808488,-25.3,152.85,63.67,92,100,7.2
hilo,US,1529805180,19.71,-155.08,80.6,90,61,10.29
hirara,JP,1529805600,24.8,125.28,86,75,79,16.11
hirschaid,DE,1529806800,49.82,10.99,51.8,0,93,1.12
hithadhoo,MV,1529808008,-0.6,73.08,81.67,64,100,5.86
hobart,AU,1529805600,-42.88,147.33,51.8,40,57,5.82
hofn,IS,1529808343,64.25,-15.21,48.82,36,93,8.66
hohenstein-ernstthal,DE,1529806800,50.8,12.71,51.8,92,87,6.93
hokitika,NZ,1529809178,-42.72,170.96,49.63,92,100,19.95
honiara,SB,1529806200,-9.43,159.96,73.4,90,100,2.24
horasan,TR,1529809194,40.04,42.16,49.45,92,100,2.95
horsens,DK,1529806800,55.86,9.84,53.6,44,87,13.87
hovd,NO,1529805000,63.83,10.7,50,75,93,14.99
hualmay,PE,1529809115,-11.1,-77.61,51.97,36,97,4.63
huarmey,PE,1529808320,-10.07,-78.15,50.71,0,92,3.4
huicungo,PE,1529809335,-7.28,-76.8,73.84,56,75,0.72
husavik,CA,1529808300,50.56,-96.99,72.31,20,71,13.69
ignacio zaragoza,MX,1529809297,28.57,-111.59,86.62,0,40,9.66
ihosy,MG,1529809293,-22.4,46.13,54.04,88,97,4.07
ikere,NG,1529809192,7.49,5.23,72.31,92,96,4.63
ilo,PE,1529808301,-17.65,-71.34,54.58,80,100,2.39
ilulissat,GL,1529805000,69.22,-51.1,37.4,75,99,6.93
imphal,IN,1529809170,24.8,93.94,77.44,56,89,1.95
inhambane,MZ,1529808010,-23.87,35.38,62.95,0,100,4.41
iqaluit,CA,1529805600,63.75,-68.52,41,75,75,13.87
isangel,VU,1529808314,-19.55,169.27,72.76,0,100,12.01
itaporanga,BR,1529809309,-7.3,-38.15,70.87,0,55,11.12
itarema,BR,1529808339,-2.92,-39.92,77.89,8,80,13.13
itoigawa,JP,1529809280,37.02,137.87,71.86,20,85,6.08
ixtapa,MX,1529804880,20.71,-105.21,82.4,90,83,9.17
jamestown,AU,1529808005,-33.21,138.6,56.29,0,48,6.2
jamsa,FI,1529806800,61.86,25.19,50,0,81,3.36
jawhar,IN,1529809187,19.91,73.23,73.48,92,100,4.85
jiayuguan,CN,1529809196,39.77,98.29,64.12,12,86,2.95
jiuquan,CN,1529809114,39.73,98.49,64.12,12,86,2.95
jumla,NP,1529809261,29.28,82.18,45.58,12,87,1.72
kabale,UG,1529809121,-1.26,29.99,47.83,8,100,2.62
kaeo,NZ,1529809118,-35.1,173.78,58.09,24,76,15.03
kaitangata,NZ,1529808020,-46.28,169.85,46.57,0,67,19.06
kalabo,ZM,1529809371,-15,22.67,56.56,56,50,8.77
kalmunai,LK,1529809037,7.42,81.82,81.31,8,89,7.99
kamenka,RU,1529808267,53.19,44.05,73.3,0,41,9.66
kangaatsiaq,GL,1529809032,68.31,-53.46,34.78,92,100,8.32
kapaa,US,1529805360,22.08,-159.32,84.2,40,69,19.46
kapit,MY,1529809333,2.02,112.94,71.77,92,100,1.72
karratha,AU,1529808026,-20.74,116.85,70.78,0,20,18.5
kasongo-lunda,CD,1529809369,-6.48,16.82,69.07,24,78,2.62
kastamonu,TR,1529809353,41.38,33.78,48.82,36,89,2.39
katangli,RU,1529809260,51.71,143.23,42.52,92,100,13.8
katsuura,JP,1529805600,33.93,134.5,77,75,65,10.29
kavaratti,IN,1529808553,10.57,72.64,80.86,48,100,18.05
kavieng,PG,1529808055,-2.57,150.8,83.74,32,100,0.94
kawalu,ID,1529808441,-7.38,108.21,70.96,80,95,1.39
kedougou,SN,1529809316,12.56,-12.19,71.77,12,93,6.53
keetmanshoop,NA,1529809240,-26.57,18.15,33.97,0,78,2.51
kenai,US,1529805360,60.55,-151.26,55.4,90,76,11.41
khair,IN,1529809368,27.94,77.84,98.59,32,33,5.97
khani,GE,1529807400,41.96,42.96,66.2,40,100,3.36
khatanga,RU,1529808004,71.98,102.47,53.86,68,86,11.01
khovu-aksy,RU,1529809210,51.13,93.72,75.01,0,24,0.72
khrisokhorafa,GR,1529809335,41.18,23.23,52.96,92,100,2.06
khurai,IN,1529809298,24.04,78.33,87.61,0,59,12.24
kibala,TD,1529809256,9.11,18.35,68.62,92,100,5.3
kieta,PG,1529809105,-6.22,155.63,73.57,92,100,2.39
kirakira,SB,1529808464,-10.46,161.92,79.51,80,100,17.49
kitale,KE,1529809190,1.02,35,55.3,88,95,2.84
kiunga,PG,1529809053,-6.12,141.3,74.65,92,98,2.84
klaksvik,FO,1529806800,62.23,-6.59,50,92,100,8.05
kluczbork,PL,1529809261,50.97,18.21,51.52,92,100,10.78
kodiak,US,1529805180,39.95,-94.76,77,1,69,5.82
komsomolskiy,RU,1529809104,67.55,63.78,55.66,0,72,11.34
kosikha,RU,1529809363,53.36,84.58,63.58,92,100,4.97
krasnoturansk,RU,1529807400,54.32,91.57,75.2,0,50,3.4
krasnyy yar,RU,1529809238,50.7,44.73,73.21,0,31,8.55
kruisfontein,ZA,1529808302,-34,24.73,61.24,36,84,22.19
kudahuvadhoo,MV,1529808057,2.67,72.89,82.75,68,100,7.43
kuito,AO,1529809355,-12.38,16.94,38.47,0,72,2.95
kunda,EE,1529809333,59.5,26.52,52.15,68,84,5.53
kununurra,AU,1529805600,-15.77,128.74,77,0,19,10.29
kutum,SD,1529809124,14.2,24.66,64.21,12,82,3.4
kuybysheve,UA,1529809281,47.36,36.65,65.74,80,95,8.55
kuybyshevo,UA,1529809360,44.63,33.86,66.55,36,100,17.72
kuytun,RU,1529809013,54.34,101.51,72.76,20,51,3.4
kvarkeno,RU,1529809227,52.08,59.73,69.61,0,52,9.89
kysyl-syr,RU,1529809227,63.9,122.77,73.75,80,44,3.62
la calera,CL,1529805600,-32.79,-71.2,44.6,40,93,2.95
la peca,PE,1529808514,-5.61,-78.44,63.22,32,95,1.83
la ronge,CA,1529805600,55.1,-105.3,66.2,75,72,12.75
labuan,BN,1529805600,5.28,115.24,84.2,75,83,5.82
labuhan,ID,1529809347,-2.54,115.51,81.94,56,77,4.18
lagoa,PT,1529807400,37.14,-8.45,68,0,88,2.24
laguna,MX,1529804400,27.52,-110.01,84.2,5,45,9.17
lahij,YE,1529809252,13.06,44.88,73.66,0,42,3.96
lakes entrance,AU,1529809348,-37.88,147.99,52.42,92,89,12.46
langsa,ID,1529809255,4.47,97.97,76.72,92,82,2.62
lasa,CY,1529807400,34.92,32.53,73.4,20,88,5.82
lata,IN,1529808532,30.78,78.62,67.27,0,77,0.94
launceston,AU,1529807400,-41.43,147.14,50,90,66,9.17
lavrentiya,RU,1529808046,65.58,-170.99,39.37,68,92,8.43
le port,FR,1529809307,42.87,1.37,45.67,44,88,1.16
lebu,ET,1529808024,8.96,38.73,51.97,64,71,2.39
leh,IN,1529809020,34.16,77.58,31.54,80,100,1.83
leningradskiy,RU,1529808031,69.38,178.42,33.7,20,92,13.35
les cayes,HT,1529809036,18.19,-73.75,80.23,76,100,17.72
leshukonskoye,RU,1529809364,64.9,45.76,63.04,12,58,3.51
lima,PE,1529809207,-12.06,-77.04,52.42,12,88,2.39
limulunga,ZM,1529809345,-15.13,23.15,60.52,44,43,9.66
litovko,RU,1529809324,49.24,135.18,52.51,92,86,5.97
liverpool,GB,1529806800,53.41,-2.98,53.6,0,87,5.82
lobito,AO,1529809241,-12.35,13.55,55.57,0,80,2.62
lompoc,US,1529807700,34.64,-120.46,69.8,90,93,4.7
longyan,CN,1529809188,25.1,117.03,79.69,64,80,2.62
longyearbyen,NO,1529805000,78.22,15.63,46.4,0,49,11.41
lorengau,PG,1529808538,-2.02,147.27,82.12,64,100,4.18
lovozero,RU,1529808997,68.01,35.02,49.09,68,79,9.44
luanda,AO,1529808503,-8.83,13.24,70.96,88,100,3.06
lubango,AO,1529809340,-14.92,13.49,46.84,0,70,2.95
luderitz,NA,1529808045,-26.65,15.16,47.38,0,93,12.8
lukovetskiy,RU,1529807400,64.29,41.92,59,0,67,4.47
luoyang,CN,1529809183,34.66,112.42,84.37,0,69,7.54
luyang,CN,1529805600,31.88,117.26,82.4,56,74,6.71
lyuban,BY,1529809248,52.8,28,52.42,92,99,10.45
mabaruma,GY,1529809062,8.2,-59.78,74.29,76,100,4.63
mago,RU,1529809311,53.27,140.15,48.91,64,80,6.08
mahebourg,MU,1529805600,-20.41,57.7,73.4,75,64,10.29
makakilo city,US,1529805420,21.35,-158.09,84.2,20,54,14.99
malanje,AO,1529809208,-9.54,16.35,53.14,20,73,2.73
malard,IR,1529807400,35.67,50.98,78.8,0,27,7.09
maldonado,UY,1529805600,-34.91,-54.96,48.2,0,92,19.46
manado,ID,1529809200,1.49,124.85,91.4,20,52,2.24
manaus,BR,1529805600,-3.13,-59.98,80.6,0,78,2.24
mandan,US,1529805120,46.83,-100.89,69.8,1,73,6.93
mangrol,IN,1529809231,25.33,76.51,88.69,0,60,12.01
maniitsoq,GL,1529808330,65.42,-52.9,35.77,44,90,4.63
maningrida,AU,1529809016,-12.05,134.23,81.94,0,67,16.26
mantua,IT,1529806800,45.16,10.79,62.6,0,76,5.82
mar del plata,AR,1529807975,-46.43,-67.52,34.69,0,90,13.91
maragogi,BR,1529808336,-9.01,-35.22,74.74,0,90,10.45
maralal,KE,1529809355,1.1,36.7,57.91,68,97,2.95
maramba,ID,1529809338,-2.58,120.81,72.94,24,85,2.06
marawi,PH,1529809361,8,124.29,77.62,64,86,3.18
margate,AU,1529805600,-43.03,147.26,51.8,40,57,5.82
markova,RU,1529807400,52.21,104.21,71.6,0,49,6.71
marrakesh,MA,1529807400,31.63,-7.99,64.4,0,77,8.05
marystown,CA,1529809241,47.17,-55.16,48.73,76,85,13.35
marzuq,YE,1529809364,14.4,46.47,66.91,0,32,0.72
matara,PE,1529808311,-13.74,-72.9,27.04,0,78,1.95
mataura,NZ,1529808055,-46.19,168.86,45.58,0,76,15.26
maumere,ID,1529808445,-8.63,122.22,83.02,24,97,8.43
maun,BW,1529805600,-19.99,23.42,55.4,0,50,9.17
mbalmayo,CM,1529805600,3.52,11.5,68,75,100,1.61
mbandaka,CD,1529809220,0.05,18.26,70.06,56,100,2.62
meadow lake,CA,1529809153,54.13,-108.44,72.58,44,55,5.41
mehamn,NO,1529808437,71.03,27.85,43.33,92,98,17.05
melioratorov,RU,1529807400,57.21,65.61,59,75,87,11.18
merauke,ID,1529809345,-8.49,140.4,83.92,56,73,16.49
meulaboh,ID,1529808545,4.14,96.13,81.04,64,100,2.73
mezen,RU,1529808344,65.85,44.24,60.79,0,73,2.95
middleton,CA,1529807220,44.94,-65.07,62.6,75,72,3.36
milkovo,BG,1529807400,41.53,24.68,62.6,92,51,11.41
mitsamiouli,KM,1529808982,-11.38,43.28,78.43,8,95,11.01
mitu,IR,1529808475,36.2,46.09,53.23,0,64,2.17
mizdah,LY,1529809279,31.45,12.98,62.14,0,66,2.95
mogzon,RU,1529809228,51.74,111.97,63.67,68,80,5.19
monrovia,LR,1529808329,6.33,-10.8,72.31,92,98,2.51
moron,VE,1529805600,10.49,-68.2,75.2,75,88,1.61
mosquera,CO,1529805600,4.71,-74.23,57.2,40,71,4.7
mount darwin,ZW,1529808550,-16.77,31.58,47.29,8,88,2.95
mount gambier,AU,1529808030,-37.83,140.78,50.44,88,95,3.18
mount isa,AU,1529805600,-20.73,139.49,77,56,36,10.29
mount pleasant,US,1529807700,33.16,-94.97,86,1,69,6.98
mpongwe,ZM,1529809249,-13.51,28.16,55.12,0,73,8.21
muravlenko,RU,1529809256,63.79,74.5,63.58,0,93,7.43
muros,ES,1529807400,42.77,-9.06,66.2,0,93,5.82
muyezerskiy,RU,1529809334,63.93,31.65,55.12,36,65,4.41
naerbo,NO,1529805000,58.67,5.65,51.8,75,93,8.05
najran,SA,1529805600,17.54,44.22,77,5,17,6.93
nakhon pathom,TH,1529807400,13.82,100.06,86,40,70,8.05
namatanai,PG,1529808016,-3.66,152.44,80.59,64,100,5.86
namibe,AO,1529808313,-15.19,12.15,69.61,0,99,3.85
nanortalik,GL,1529808058,60.14,-45.24,35.59,88,100,8.1
nantucket,US,1529808120,41.28,-70.1,62.6,90,100,3.36
nara,JP,1529807400,34.68,135.8,77,75,83,6.93
narasannapeta,IN,1529809366,18.42,84.04,84.46,92,80,7.43
narsaq,GL,1529805000,60.91,-46.05,41,75,80,2.24
naryan-mar,RU,1529809030,67.67,53.09,56.92,20,73,9.22
natal,BR,1529805600,-5.81,-35.21,75.2,40,83,10.29
naze,NG,1529808298,5.43,7.07,71.14,92,99,2.39
